,act_percent_took_exam,asian_percent,black_percent,class_grad_year,college_career_readiness_index,college_nys_private,college_nys_public,college_out_of_state,college_readiness_index,cuny_2yr,cuny_4yr,dbn,disability_percent,district_admin_code,district_geo_code,dropouts_percent,ell_percent,enrollment,grade8_english,grade8_math,graduation_rate,hispanic_percent,male_percent,post-secondary_enroll_rate,poverty_percent,public_service,regents_algebra,regents_english,sat_math,sat_percent_took_exam,sat_reading,sat_score_overall,sat_writing,school_desc,school_environment_survey,self-contained_percent,student_attendance_rate,teacher_attendance,vocational_prog,white_percent,zip_code,school_day_length
845,0.0,0.002725,0.0,2014,0.106,0.0,0.011,0.0,0.03,0.256,0.0,24Q296,0.024523,24.0,24.0,0.184615385,0.882834,367.0,1.784258,1.937763,0.5,0.997275,0.523160755634,0.267,0.904632151127,0.0,60.0,63.0,346.0,0.455,330.0,996.0,320.0,General Academic,0.89,0.010899,0.873,0.971,0.0,0.0,11373.0,405.0
846,0.231,0.348333,0.108333,2014,1.0,0.114,0.179,0.164,0.985,0.093,0.307,24Q299,0.016667,24.0,24.0,0.0,0.003333,600.0,3.703642,3.780535,0.985,0.168333,0.406666666269,0.857,0.460000008345,0.0,78.0,86.0,620.0,0.938,589.0,1822.0,613.0,General Academic,0.93,0.0,0.976,0.976,0.0,0.35,11101.0,380.0
847,0.044,0.255063,0.088235,2014,0.365,0.017,0.031,0.008,0.175,0.261,0.083,24Q455,0.141273,24.0,24.0,0.1485623,0.316779,2074.0,2.312241,2.272784,0.653,0.604629,0.572806179523,0.4,0.725168764591,0.0,68.0,65.0,421.0,0.407,396.0,1202.0,385.0,General Academic,0.89,0.059306,0.852,0.961,0.0,0.039537,11373.0,450.0
848,0.018,0.092563,0.05297,2014,0.366,0.021,0.01,0.01,0.188,0.284,0.051,24Q485,0.182451,24.0,24.0,0.101030928,0.230605,1869.0,2.352303,2.286017,0.581,0.643125,0.568218290806,0.376,0.749063670635,0.0,64.0,65.0,434.0,0.358,405.0,1239.0,400.0,General Academic,0.81,0.084002,0.79,0.955,0.0,0.202782,11385.0,450.0
849,0.0,0.074747,0.052525,2014,0.747,0.097,0.145,0.016,0.19,0.145,0.097,24Q520,0.161616,24.0,24.0,0.101265823,0.00404,495.0,2.340231,2.349055,0.696,0.791919,0.549494922161,0.5,1.0,0.0,,69.0,395.0,0.468,377.0,1145.0,373.0,General Academic,0.91,0.020202,0.924,0.938,0.0,0.076768,11101.0,355.0
850,0.0,0.409543,0.029821,2014,0.813,0.059,0.078,0.01,0.366,0.441,0.049,24Q530,0.017893,24.0,24.0,0.0446429,0.727634,503.0,1.887606,2.350099,0.821,0.447316,0.483101397753,0.637,1.0,0.0,,68.0,422.0,0.714,351.0,1137.0,364.0,General Academic,0.94,0.007952,0.927,0.979,0.0,0.111332,11101.0,450.0
851,0.043,0.087937,0.078918,2014,0.805,0.024,0.036,0.006,0.295,0.467,0.042,24Q550,0.155581,24.0,24.0,0.0285714,0.116122,887.0,2.4252,2.376524,0.86,0.789177,0.43742954731,0.575,1.0,0.0,70.0,72.0,403.0,0.69,409.0,1202.0,390.0,General Academic,0.92,0.032694,0.899,0.956,0.0,0.032694,11368.0,435.0
852,0.027,0.172745,0.055662,2014,0.342,0.047,0.085,0.019,0.45,0.405,0.17,24Q560,0.151631,24.0,24.0,0.009009,0.06334,521.0,2.648049,2.559736,0.82,0.667946,0.502377152443,0.726,0.792393028736,0.0,70.0,74.0,445.0,0.703,445.0,1332.0,442.0,General Academic,0.89,0.024952,0.89,0.946,0.0,0.097889,11101.0,420.0
853,,0.165113,0.029294,2014,,,,,,,,24Q585,0.122503,,,,0.031957,751.0,2.823703,2.728678,,0.456724,0.448735028505,,0.701731026173,,74.0,79.0,,,,,,,,0.033289,0.931,0.985,,0.344874,11373.0,405.0
854,0.023,0.103699,0.058124,2014,0.694,0.015,0.042,0.0,0.332,0.409,0.151,24Q600,0.156539,24.0,24.0,0.0454545,0.048217,1514.0,2.567983,2.566979,0.803,0.761559,0.603698790073,0.617,0.850066065788,0.0,72.0,71.0,442.0,0.584,420.0,1268.0,406.0,Career Technical,0.84,0.060106,0.891,0.962,0.0,0.073976,11101.0,480.0
